total count,percent of total,activties count,percent of activities,tokens,n_gram
9,0.041860,8,0.080000,etiam,1grams
9,0.041860,8,0.080000,lorem,1grams
8,0.037209,7,0.070000,vitae,1grams
8,0.037209,7,0.070000,augue,1grams
8,0.037209,8,0.080000,nulla,1grams
8,0.037209,8,0.080000,fames,1grams
7,0.032558,6,0.060000,porta,1grams
7,0.032558,7,0.070000,neque,1grams
7,0.032558,7,0.070000,justo,1grams
6,0.027907,6,0.060000,purus,1grams
6,0.027907,6,0.060000,netus,1grams
6,0.027907,6,0.060000,class,1grams
6,0.027907,5,0.050000,proin,1grams
5,0.023256,5,0.050000,massa,1grams
5,0.023256,5,0.050000,dolor,1grams
5,0.023256,5,0.050000,ipsum,1grams
4,0.018605,4,0.040000,felis,1grams
4,0.018605,4,0.040000,curae,1grams
4,0.018605,4,0.040000,fusce,1grams
4,0.018605,3,0.030000,velit,1grams
3,0.013953,3,0.030000,lacus,1grams
3,0.013953,3,0.030000,morbi,1grams
3,0.013953,3,0.030000,magna,1grams
2,0.009302,2,0.020000,blandit,1grams
2,0.009302,2,0.020000,litora,1grams
2,0.009302,2,0.020000,eleifend,1grams
2,0.009302,2,0.020000,nunc,1grams
2,0.009302,2,0.020000,montes,1grams
2,0.009302,2,0.020000,quis,1grams
2,0.009302,2,0.020000,risus,1grams
2,0.009302,2,0.020000,odio,1grams
2,0.009302,2,0.020000,quisque,1grams
2,0.009302,2,0.020000,mollis,1grams
2,0.009302,2,0.020000,gravida,1grams
2,0.009302,2,0.020000,aptent,1grams
2,0.009302,2,0.020000,tempus,1grams
2,0.009302,2,0.020000,nibh,1grams
2,0.009302,2,0.020000,amet,1grams
2,0.009302,2,0.020000,donec,1grams
2,0.009302,2,0.020000,condimentum,1grams
2,0.009302,2,0.020000,viverra,1grams
2,0.009302,2,0.020000,adipiscing,1grams
1,0.004651,1,0.010000,pharetra,1grams
1,0.004651,1,0.010000,varius,1grams
1,0.004651,1,0.010000,nascetur,1grams
1,0.004651,1,0.010000,sagittis,1grams
1,0.004651,1,0.010000,primis,1grams
1,0.004651,1,0.010000,habitasse,1grams
1,0.004651,1,0.010000,elementum,1grams
1,0.004651,1,0.010000,sociosqu,1grams
1,0.004651,1,0.010000,sodales,1grams
1,0.004651,1,0.010000,imperdiet,1grams
1,0.004651,1,0.010000,nullam,1grams
1,0.004651,1,0.010000,iaculis,1grams
1,0.004651,1,0.010000,praesent,1grams
1,0.004651,1,0.010000,suspendisse,1grams
1,0.004651,1,0.010000,cras,1grams
1,0.004651,1,0.010000,tellus,1grams
1,0.004651,1,0.010000,pede,1grams
1,0.004651,1,0.010000,ligula,1grams
1,0.004651,1,0.010000,elit,1grams
1,0.004651,1,0.010000,eros,1grams
1,0.004651,1,0.010000,posuere,1grams
1,0.004651,1,0.010000,rhoncus,1grams
1,0.004651,1,0.010000,metus,1grams
1,0.004651,1,0.010000,quam,1grams
1,0.004651,1,0.010000,arcu,1grams
1,0.004651,1,0.010000,suscipit,1grams
1,0.004651,1,0.010000,vehicula,1grams
1,0.004651,1,0.010000,lobortis,1grams
1,0.004651,1,0.010000,orci,1grams
1,0.004651,1,0.010000,turpis,1grams
1,0.004651,1,0.010000,scelerisque,1grams
1,0.004651,1,0.010000,pulvinar,1grams
1,0.004651,1,0.010000,aliquet,1grams
1,0.004651,1,0.010000,cursus,1grams
1,0.004651,1,0.010000,aenean,1grams
1,0.004651,1,0.010000,dictumst,1grams
1,0.004651,1,0.010000,tortor,1grams
1,0.004651,1,0.010000,vulputate,1grams
1,0.004651,1,0.010000,penatibus,1grams
1,0.004651,1,0.010000,luctus,1grams
1,0.004651,1,0.010000,potenti,1grams
1,0.004651,1,0.010000,magnis,1grams
